 央视,#genre#
CCTV1,http://192.168.50.1:5566/rtp/239.3.1.129:8008
CCTV1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV1,https://node1.olelive.com:6443/live/CCTV1HD_360/hls.m3u8
CCTV1,https://node3.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV2,http://192.168.50.1:5566/rtp/239.3.1.60:8084
CCTV2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV2,https://node1.olelive.com:6443/live/CCTV2HD_360/hls.m3u8
CCTV2,https://node3.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV3,http://192.168.50.1:5566/rtp/239.3.1.172:8001
CCTV3,https://node1.olelive.com:6443/live/CCTV3HD/hls.m3u8
CCTV3,https://node3.olelive.com:6443/live/CCTV3HD/hls.m3u8
CCTV3,https://node1.olelive.com:6443/live/CCTV3HD_360/hls.m3u8
CCTV4,http://192.168.50.1:5566/rtp/239.3.1.105:8092
CCTV5,http://192.168.50.1:5566/rtp/239.3.1.173:8001
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5,https://node3.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD_360/hls.m3u8
CCTV5+,http://192.168.50.1:5566/rtp/239.3.1.130:8004
CCTV5+,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV5+,https://node3.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV5+,https://node1.olelive.com:6443/live/CCTV5PHD_360/hls.m3u8
CCTV6,http://192.168.50.1:5566/rtp/239.3.1.174:8001
CCTV6,https://node1.olelive.com:6443/live/CCTV6HD/hls.m3u8
CCTV6,https://node1.olelive.com:6443/live/CCTV6HD_360/hls.m3u8
CCTV7,http://192.168.50.1:5566/rtp/239.3.1.61:8104
CCTV7,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV7,https://node1.olelive.com:6443/live/CCTV7HD_360/hls.m3u8
CCTV8,http://192.168.50.1:5566/rtp/239.3.1.175:8001
CCTV8,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV8,https://node1.olelive.com:6443/live/CCTV8HD_360/hls.m3u8
CCTV9,http://192.168.50.1:5566/rtp/239.3.1.62:8112
CCTV9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV9,https://node3.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV9,https://node1.olelive.com:6443/live/CCTV9HD_360/hls.m3u8
CCTV10,http://192.168.50.1:5566/rtp/239.3.1.63:8116
CCTV10,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV10,https://node1.olelive.com:6443/live/CCTV10HD_360/hls.m3u8
CCTV11,http://192.168.50.1:5566/rtp/239.3.1.152:8120
CCTV12,http://192.168.50.1:5566/rtp/239.3.1.64:8124
CCTV13,http://192.168.50.1:5566/rtp/239.3.1.124:8128
CCTV13,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
